,model,name,name2,name2,ideal,dn,n,text,em
49,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_neutral_18/18_happiness_neutral_h_050.wav,../шумоподавление/DTLN_output/DTLN_18_happiness_neutral_h_050.wav,../шумоподавление/Noisereduce_output/Noisereduce_18_happiness_neutral_h_050.wav,конечно а после я наконец начну изучать любимое дело я давно хотела стать педагогам обучаять детей и таки клосные,конечно а после я наконец начну изучать любимое дело я давно хотела стать педагогом обучаять детей и таки клосны,конечно а после я наконец начну изучать пребимое дело я давно хотела стать педагогам обучать детей аи таки клосны,"Конечно! А после я наконец-то начну изучать любимое дело. Я давно хотела стать педагогом, обучать детей. Они такие классные!",happiness
50,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/fear_disgust_48/48_fear_disgust_f_060.wav,../шумоподавление/DTLN_output/DTLN_48_fear_disgust_f_060.wav,../шумоподавление/Noisereduce_output/Noisereduce_48_fear_disgust_f_060.wav,тетий вот которые выходят ворда лаки одни чего стоят они там открывают вию глазану вот жуть наводят просто на меня числно говоряпр,дя ре рады как ругеру мечетыряна ит этот пехним подудноитаки подовонее здроста рачисламопре,чта аедоно откате пряже наэтэтя комеруен мосле саиэт зольта губехный и наредно увонялосвесоноспителать оноддар,"Вот эти вот, которые выходят вурдалаки, одни чего стоят, они там открывают вию глаза, ну... Вот жуть наводит просто на меня, честно говоря, прям...",fear
51,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_16/16_sadness_disgust_d_081.wav,../шумоподавление/DTLN_output/DTLN_16_sadness_disgust_d_081.wav,../шумоподавление/Noisereduce_output/Noisereduce_16_sadness_disgust_d_081.wav,а радовать а еще приноситьнужество проблемсколько мы потратиемны это временя потом ам скажет или она я уж не знаю что там получится и если пол,а радовать а еще приноситьдожество проблемысколько ону потратимное то временя потом ом скажут но ли оная уж не знаю что там получится и если по,а радовайть а еще проносить ну васто проблемысколько мы потратиаем ны это времени о потом он скажет и онаи ужне знае что там получится неесли пл,"ага, радовать, а еще приносить множество проблем. Сколько мы потратим на это времени, а потом он скажет, или она, я уж не знаю, что там получится, если получится.",disgust
52,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/anger_fear_42/42_anger_fear_f_150.wav,../шумоподавление/DTLN_output/DTLN_42_anger_fear_f_150.wav,../шумоподавление/Noisereduce_output/Noisereduce_42_anger_fear_f_150.wav,если он поро раз крикнул это не значит что он постоянно кричитно,если он пору раз кригнул это не значт что он постоянно кричитно,если он пору раз крикнул это не значь что он постоянно читну,"Если он пару раз крикнул, это не значит, что он постоянно кричит ночью.",fear
53,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_fear_29/29_happiness_fear_h_140.wav,../шумоподавление/DTLN_output/DTLN_29_happiness_fear_h_140.wav,../шумоподавление/Noisereduce_output/Noisereduce_29_happiness_fear_h_140.wav,акбоисусии он приедут с самой лучшие дой специально приготовленный для вас,поизуче он приедут  самой лучшиедой специально приготовленны для вас,наабои сучия он приведут самый лучший дой специально приготовленный для вас,"Не бойтесь, к вам приедут с самой лучшей едой, специально приготовленной для вас.",happiness
54,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_16/16_sadness_disgust_s_020.wav,../шумоподавление/DTLN_output/DTLN_16_sadness_disgust_s_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_16_sadness_disgust_s_020.wav,вно ты ведь понимаесь что наша семья не полноя ребенок это счастья он будет реадомон будет улыбаться тебе,свново педец понимаюь что нашей сензалы не вребенок это счастье он будет приадомани будет улыбаться тебе,малокы вес понимаеь что наше соешльный вребено к это частия он будет ряда он огрутко лыбваться тебе,"Но ты ведь понимаешь, что наша семья не полная. Ребёнок — это счастье. Он будет рядом, он будет улыбаться тебе.",sadness
55,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_fear_29/29_happiness_fear_f_110.wav,../шумоподавление/DTLN_output/DTLN_29_happiness_fear_f_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_29_happiness_fear_f_110.wav,тна что мерстить мне умняи лы долм не нужем пожалуйстамне,тна что мерстить мне умняи лы долм не нужен пожалуйста мне,тна что умерстить мне умняял до не нужен пожалуйтамне,"Ну что вы меня ртите? Мне лендл не нужен, пожалуйста мне...",fear
56,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_disgust_33/33_sadness_disgust_s_110.wav,../шумоподавление/DTLN_output/DTLN_33_sadness_disgust_s_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_33_sadness_disgust_s_110.wav,внешно стоб манчав,внешно стобманчив,внешно стаб мачу,Внешность обманчива.,sadness
57,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/disgust_enthusiasm_20/20_disgust_enthusiasm_e_120.wav,../шумоподавление/DTLN_output/DTLN_20_disgust_enthusiasm_e_120.wav,../шумоподавление/Noisereduce_output/Noisereduce_20_disgust_enthusiasm_e_120.wav,о чем мы будем с вами договариваться и очень интересно,о чем ибы нем с вами договарил очень интересы,о чем были с вами договарил ночень интересно,О чем мы будем с вами договариваться? И это очень интересно!,enthusiasm
58,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/sadness_anger_39/39_sadness_anger_s_030.wav,../шумоподавление/DTLN_output/DTLN_39_sadness_anger_s_030.wav,../шумоподавление/Noisereduce_output/Noisereduce_39_sadness_anger_s_030.wav,ну что же мне делать  на рукаху мне лежит что я его пытаюсь откочать его бью пощегам а он нечнью никак не может очнуть подскажить,мыбе пытаюсь откочать его бьюк ощега а он нечнью никак не может очнуть и подскажить,мы что же мердел о нрбахлуя жизнь что я его пытаюсь отклчать я егобьюг ощека а он неч никак не может очнуться  подскажить,Что же мне делать? Он лежит на руках Я пытаюсь его откачать Я бью его по щекам Он не может очнуться Подскажите...,sadness
59,anton-l/wav2vec2-large-xlsr-53-russian,../dataset/RESD_csv/train/happiness_neutral_38/38_happiness_neutral_n_100.wav,../шумоподавление/DTLN_output/DTLN_38_happiness_neutral_n_100.wav,../шумоподавление/Noisereduce_output/Noisereduce_38_happiness_neutral_n_100.wav,течение пяти дней но не забывайте что мы заботимся аб вас и о ваших товар который мы пересываете с помощь нашей компании а теперь пожалуйста оставайте сналении,чан еноцатных асадамсяцаувет зарботе самии о ваших товар который перезваете с помощь нашей компании а теперь пожалуйсто оставайте сналении,тешал лицатняраздравается чтомы зокубоет состанидогоирад и олоших товары который присывате с помощь наши кампаа теперь пожалуйстакасковайте сналения,"в течение пяти дней. Но не забывайте, что мы заботимся о вас и о ваших товарах, которые вы пересылаете с помощью нашей компании. А теперь, пожалуйста, оставайтесь на линии.",neutral
60,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_anger_39/39_sadness_anger_s_020.wav,../шумоподавление/DTLN_output/DTLN_39_sadness_anger_s_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_39_sadness_anger_s_020.wav,ну он уже не дышит все что мне дехать,он уже не вврежсук чтомн нте,он же не пишесчог идихать,Он уже не дышит. Что мне делать?,sadness
61,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_happiness_49/49_sadness_happiness_h_080.wav,../шумоподавление/DTLN_output/DTLN_49_sadness_happiness_h_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_49_sadness_happiness_h_080.wav,я сейчас по момю и отдам тебе если тебя что то не устраивает не мои проблемы,я сейчас помоу и отдам тебе если тебя что то не устраивает не мои проблемы,я сейчас помоу и отдамьтя если тебя что то не устраивает не мои проблемы,"Я сейчас помою и отдам тебе, если тебя что-то не устраивает, не мои проблемы.",happiness
62,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/02_anger_sadness/02_anger_sadness a_051.wav,../шумоподавление/DTLN_output/DTLN_02_anger_sadness a_051.wav,../шумоподавление/Noisereduce_output/Noisereduce_02_anger_sadness a_051.wav,неужели дольше анна ивановна семьдесят лет она делает быстрее чем ты а ты молодой специалист конечно,неужели дольше анна ивановнавич семьдесят лтон делает быстрее чем ты оспециалистконечно,неужели дольше анна ивановна семьдесят лет отделает быстрее чемты оты ой спициалист конечно,"Неужели дольше? Анна Ивановна 70 лет. Она делает быстрее, чем ты. А ты молодой специалист. Конечно.",anger
63,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_disgust_33/33_sadness_disgust_d_020.wav,../шумоподавление/DTLN_output/DTLN_33_sadness_disgust_d_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_33_sadness_disgust_d_020.wav,малоли что то захотел,поални что ты заплатела,ичто ты запотил,Мало ли что ты захотел,disgust
64,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/05_neutral_fear/05_neutral_fear n_020.wav,../шумоподавление/DTLN_output/DTLN_05_neutral_fear n_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_05_neutral_fear n_020.wav,да они всегда вечером плохо ходят,да всегда вечером плохо ходит,да они всегда вечером плохо ходят,"Да, они всегда вечером плохо ходят.",neutral
65,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_anger_21/21_happiness_anger_a_110.wav,../шумоподавление/DTLN_output/DTLN_21_happiness_anger_a_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_21_happiness_anger_a_110.wav,нет принимайте заказ и идите готовьте я есть хочу,дионенд лимбере музикально принимайте заказ и идите готовьте я есть хочу,ды мен имблямусика принимайте заказ и идите готовте я есть хочу,Нет! Принимайте заказ и идите готовьте! Я есть хочу!,anger
66,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_neutral_18/18_happiness_neutral_h_080.wav,../шумоподавление/DTLN_output/DTLN_18_happiness_neutral_h_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_18_happiness_neutral_h_080.wav,а может быть мы с ней подружимся и будем лучшими друзьями,а может быть мы с ней подружимся и будем лучшими друзьями,а может быть мы с ней подружимся и будем лучшими друзьями,А может быть мы с ней подружимся и будем лучшими друзьями?,happiness
67,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/anger_fear_42/42_anger_fear_f_030.wav,../шумоподавление/DTLN_output/DTLN_42_anger_fear_f_030.wav,../шумоподавление/Noisereduce_output/Noisereduce_42_anger_fear_f_030.wav,послушайте у вас есть дете,послушайте у вас есть дети,послушайте у вас есть дите,"Послушайте, у вас есть дети?",fear
68,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_enthusiasm_32/32_happiness_enthusiasm_h_072.wav,../шумоподавление/DTLN_output/DTLN_32_happiness_enthusiasm_h_072.wav,../шумоподавление/Noisereduce_output/Noisereduce_32_happiness_enthusiasm_h_072.wav,ну вдруг они дорь дурго стоят я роже чем пять тысяч,ну онедоры дорго столит дя роже чем пять,от тоька ни боль дорго стоят я руже чем пять,"Ну, вдруг они дорого стоят, дороже, чем пять тысяч.",happiness
69,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/enthusiasm_sadness_47/47_enthusiasm_sadness_e_070.wav,../шумоподавление/DTLN_output/DTLN_47_enthusiasm_sadness_e_070.wav,../шумоподавление/Noisereduce_output/Noisereduce_47_enthusiasm_sadness_e_070.wav,ов кредит хотите в кредит,иди патита леди,в кредит катите в кредит,Нужно в кредит. Хотите в кредит.,enthusiasm
70,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_fear_27/27_neutral_fear_f_110.wav,../шумоподавление/DTLN_output/DTLN_27_neutral_fear_f_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_27_neutral_fear_f_110.wav,да но я же не смогу жить без этого,да ну я же не смогу ужить песлит,дан я же не смогу жи из это,"Да, но я же не смогу жить без этого.",fear
71,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_s_030.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_s_030.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_s_030.wav,ну давай посмотрим на градосникну вот сейчас восемьдесят шесть градусов,ну давай посмотрим на градусник ну вот сейчас восемьдесят шесть градусов,ну давай посмотрим на градоси ну вот сейчас восемьдесят шесть градусов,"Ну, давай посмотрим на градусник. Ну вот сейчас 86 градусов.",sadness
72,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_enthusiasm_13/13_neutral_enthusiasm_n_061.wav,../шумоподавление/DTLN_output/DTLN_13_neutral_enthusiasm_n_061.wav,../шумоподавление/Noisereduce_output/Noisereduce_13_neutral_enthusiasm_n_061.wav,я ва могла вам посоветовать на такой случай тариф роуминг то есть  вы платить обычный тариф то есть,я вам вы платите обычный тариф то есть,я    вы платите обычный тариф то есть,"Я бы могла вам посоветовать на такой случай тариф роуминг. То есть вы платите обычный тариф, то есть вы платите обычный тариф,",neutral
73,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_enthusiasm_24/24_sadness_enthusiasm_s_110.wav,../шумоподавление/DTLN_output/DTLN_24_sadness_enthusiasm_s_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_24_sadness_enthusiasm_s_110.wav,да можно конечно ты только потом выпьешь потом же не объясняться потом наутро голова болит де не знаю,данбаы,ваи,"Да можно, конечно, но только потом выпьешь, потом к жене объясняться, потом на утро голова болит. Не, не знаю.",sadness
74,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_disgust_12/12_sadness_disgust_s_090.wav,../шумоподавление/DTLN_output/DTLN_12_sadness_disgust_s_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_12_sadness_disgust_s_090.wav,нет нет нет подождите давайте все таки договоримся вот я хочу чтобы мой сын ходил на дополнительные занятия чем он хуже остальных ученико,нтдавайте встк договорит т я хочутценк один дополнительные занятия чем он хуже остальных ученк,ворит лвителные занятия чем он хуже остальных у,"Нет-нет-нет, подождите. Давайте всё-таки договоримся. Вот я хочу, чтобы мой сын ходил на дополнительные занятия, чем он хуже остальных учеников.",sadness
75,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/fear_happiness_30/30_fear_happiness_h_120.wav,../шумоподавление/DTLN_output/DTLN_30_fear_happiness_h_120.wav,../шумоподавление/Noisereduce_output/Noisereduce_30_fear_happiness_h_120.wav,ну чего вы боитесь ну чего вы переживаете ну все будет у нас прост,ну чего вы бовитесь ну чего вы переживаете ну все будет у насрот,ну чего вы боитесь ну чего вы переживаете ну все будет у нас просто,Ну чего вы боитесь? Ну чего вы переживаете? Ну все будет у нас просто!,happiness
76,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_disgust_16/16_sadness_disgust_d_020.wav,../шумоподавление/DTLN_output/DTLN_16_sadness_disgust_d_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_16_sadness_disgust_d_020.wav,тебе меня недостаточно  зачем тебе еще и ребенок зачем тебе все эти дополнительные сложности как будто сейчас у нас все хорошо и достаточно денег на жизнь,тебе менястатоты сейчас у нас все хорошо и достаточно денег на жизнь,тебеятышькы сейчас у нас се хорошодостаточно денег на жизнь,Тебе меня недостаточно? Зачем тебе ещё и ребёнок? Зачем тебе все эти дополнительные сложности? Как будто сейчас у нас всё хорошо и достаточно денег на жизнь.,disgust
77,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_h_100.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_h_100.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_h_100.wav,олучайня,мучайь,олучайтся,или СПИ!!!!,happiness
78,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_s_010.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_s_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_s_010.wav,янкуда набежу что деа,я инакуда набиу что делать,яинкуда напиш че деа,"Блин, ну куда ты бежишь, идиот?",sadness
79,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_neutral_38/38_happiness_neutral_h_090.wav,../шумоподавление/DTLN_output/DTLN_38_happiness_neutral_h_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_38_happiness_neutral_h_090.wav,когда же придет она быстро придет,она быстро пибет,она быстро придела,Когда же придёт? Она быстро придёт?,happiness
80,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/enthusiasm_sadness_15/15_enthusiasm_sadness_s_010.wav,../шумоподавление/DTLN_output/DTLN_15_enthusiasm_sadness_s_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_15_enthusiasm_sadness_s_010.wav,здравствуйте я хотел бы записаться на курсе английского языка,а,твпи,Здравствуйте! Я хотел бы записаться на курсы английского языка.,sadness
81,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_fear_35/35_neutral_fear_f_052.wav,../шумоподавление/DTLN_output/DTLN_35_neutral_fear_f_052.wav,../шумоподавление/Noisereduce_output/Noisereduce_35_neutral_fear_f_052.wav,журного или как там их называют вот и такое ощущение что вот скоро кислород закончится,такозакця,так осущен что спор пиславта кочетя,"дежурного, или как там их называют. И такое ощущение, что скоро кислород закончится.",fear
82,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_disgust_12/12_sadness_disgust_d_110.wav,../шумоподавление/DTLN_output/DTLN_12_sadness_disgust_d_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_12_sadness_disgust_d_110.wav,на гитаре не ну я понимаю еще фортепиано там было бы я я еще понимаю а гитара ну что это такое за инструмент пусть приходит и учит английский язык это хотя бы в жизни пригодится,что это такоеинструмент ть унты учит английскихотя б в жизни пригодиться,путьодит и учит английский язык хотя бы в жизни пригодится,"На гитаре? Не, ну я понимаю, ещё фортепиано там было бы, я ещё понимаю. А гитара? Ну что это такое за инструмент? Пусть приходит и учит английский язык, это хотя бы в жизни пригодится.",disgust
83,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_anger_44/44_neutral_anger_n_020.wav,../шумоподавление/DTLN_output/DTLN_44_neutral_anger_n_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_44_neutral_anger_n_020.wav,потому что я каждый день подписываю договор о том что я не принимаю такие,потому что я каждый день подписываю договор о том что я не принимаю такие,потому что я каждый день подписываю договор о том что я не принимаю таки,"Потому что я каждый день подписываю договор о том, что я не принимаю такие.",neutral
84,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/fear_anger_22/22_fear_anger_f_160.wav,../шумоподавление/DTLN_output/DTLN_22_fear_anger_f_160.wav,../шумоподавление/Noisereduce_output/Noisereduce_22_fear_anger_f_160.wav,доморе ме вообще такое настроление сейчас вот поставить машину и вот на первый автобус есть и поехать,а,,"У меня вообще такое настроение, я сейчас поставить машину и вот на первый автобус сесть и поехать.",fear
85,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_disgust_17/17_neutral_disgust_d_092.wav,../шумоподавление/DTLN_output/DTLN_17_neutral_disgust_d_092.wav,../шумоподавление/Noisereduce_output/Noisereduce_17_neutral_disgust_d_092.wav,все ваши рекламные акции пожалуйста больше не парти мни мозги и слеть из моих ушей хорошо,велавные акции пожалуста будше не парт пожг висих моих ушей хорошо,все ваши еглавные акции пожалуйта мужник партни не моги  слизть с моих ушей хорошо,"все ваши рекламные акции, пожалуйста, больше не парьте мне мозги и слезьте с моих ушей, хорошо?",disgust
86,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_happiness_49/49_sadness_happiness_s_080.wav,../шумоподавление/DTLN_output/DTLN_49_sadness_happiness_s_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_49_sadness_happiness_s_080.wav,дай мне ведро пожалуйста ну дай я тебя прошу как человека прошу служалуйста,,,"Дай мне ведро, пожалуйста, ну дай! Я тебя прошу, как человека прошу! Слушай... Берите оператору в чёрное что ли determination в помощь!",sadness
87,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/fear_enthusiasm_31/31_fear_enthusiasm_e_080.wav,../шумоподавление/DTLN_output/DTLN_31_fear_enthusiasm_e_080.wav,../шумоподавление/Noisereduce_output/Noisereduce_31_fear_enthusiasm_e_080.wav,мама не переживай все в порядке следующий раз я куплю новый телефон буду постоянно со с тобой созваниваться и ты перестанешь переживать,мама не переживай все в порядке следующий раз я куплю новый телефон буду постоянно со с тобой созваниваться и ты перестанешь переживать,мама не переживай все в порядке следующий раз я куплю новый телефон буду постоянно с тобой созваниваться и ты перестанешь переживать,"Мам, не переживай, всё в порядке. В следующий раз я куплю новый телефон, буду постоянно с тобой созваниваться, и ты перестанешь переживать.",enthusiasm
88,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/neutral_fear_27/27_neutral_fear_n_040.wav,../шумоподавление/DTLN_output/DTLN_27_neutral_fear_n_040.wav,../шумоподавление/Noisereduce_output/Noisereduce_27_neutral_fear_n_040.wav,да я знаю и вот когда человек работает долго и хорошо ему как вы думаете что нужно,да я знаю и вот когда человек работает долго и хорошо ему как вы думаете что нужно,да я знаю и вот когда человек работает долго и хорошо ему как вы думаете что нужно,"Да, я знаю. И вот когда человек работает долго и хорошо, ему, как вы думаете, что нужно?",neutral
89,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/sadness_disgust_46/46_sadness_disgust_d_041.wav,../шумоподавление/DTLN_output/DTLN_46_sadness_disgust_d_041.wav,../шумоподавление/Noisereduce_output/Noisereduce_46_sadness_disgust_d_041.wav,и вы считаете что она может следить за порядком у нас в доме ну ладно за порядкам в доме ну она улице пройдите по улице что это такое везде мусор возли урн мимоу,и вы считаете что она не может сводни за порядком у нас в доме ну ну ладно за порядком доме на улице пройдите по улице кто это такое изде мусор уни,и вы считаете что она может средить за порядкому нас в доме нуладно за порядка в доме ну она улице пройдите поуувиц что это такое везде музор возли  ни,"И вы считаете, что она может следить за порядком у нас в доме? Ну, ладно, за порядком в доме, ну а на улице, пройдите по улице, что это такое? Везде мусор, возле урн, мимо урн.",disgust
90,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/fear_disgust_48/48_fear_disgust_f_090.wav,../шумоподавление/DTLN_output/DTLN_48_fear_disgust_f_090.wav,../шумоподавление/Noisereduce_output/Noisereduce_48_fear_disgust_f_090.wav,я страшнее ничего не смотрела,я страшнее ничего не смог,я страшнее ничего не смотрела,Я страшнее ничего не смотрела,fear
91,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/disgust_enthusiasm_20/20_disgust_enthusiasm_d_110.wav,../шумоподавление/DTLN_output/DTLN_20_disgust_enthusiasm_d_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_20_disgust_enthusiasm_d_110.wav,ах ты зараза молодая не знаешь с кем связалась,кто зараза молодая не знаешь с кем связалась,хтозза молодая не знаешь с кем связалась,"Ух ты, зараза молодая, не знаешь, с кем связалась?",disgust
92,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_fear_29/29_happiness_fear_h_130.wav,../шумоподавление/DTLN_output/DTLN_29_happiness_fear_h_130.wav,../шумоподавление/Noisereduce_output/Noisereduce_29_happiness_fear_h_130.wav,хорошо я записываю значит,хорошо я записываю значит,хорошо я записываю значит,"Хорошо, я записываю, значит...",happiness
93,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/disgust_happiness_36/36_disgust_happiness_h_100.wav,../шумоподавление/DTLN_output/DTLN_36_disgust_happiness_h_100.wav,../шумоподавление/Noisereduce_output/Noisereduce_36_disgust_happiness_h_100.wav,а мне друв мой сказал что,а мне друг мой сказал что,а мне друг мой сказал,"А мне друг мой сказал, что вообще кайфово.",happiness
94,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_sadness_45/45_happiness_sadness_h_110.wav,../шумоподавление/DTLN_output/DTLN_45_happiness_sadness_h_110.wav,../шумоподавление/Noisereduce_output/Noisereduce_45_happiness_sadness_h_110.wav,тдава я тебе ясебе могу еще занять  в принципе,чн,давайизанять,"Давай, я тебе могу ещё и занять, в принципе.",happiness
95,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/01_happiness_anger/01_happiness_anger h_020.wav,../шумоподавление/DTLN_output/DTLN_01_happiness_anger h_020.wav,../шумоподавление/Noisereduce_output/Noisereduce_01_happiness_anger h_020.wav,ну то посмотри как ты я оделась какие на тебе туфля они тебе так и дуты сделала прическу накрасилси сходила на маникюр,вто посмотри как ты он делась какие на тебе тукли они тебе так и дуют сделал прическу накрасилсь кодила никюр,то посмотри как ты один скакие на тебе тука они тебе так и дут сделал пречески накрасил и скодилал никюо,"Зато посмотри, как ты оделась, какие на тебе туфли, они тебе так идут! Ты сделала прическу, накрасилась, сходила на маникюр...",happiness
96,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/enthusiasm_neutral_43/43_enthusiasm_neutral_e_010.wav,../шумоподавление/DTLN_output/DTLN_43_enthusiasm_neutral_e_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_43_enthusiasm_neutral_e_010.wav,здравствуйте я вот по объявлению я вам звонила,здравствуйте я вот по объевлению я вам звонила,здравствуйте я вот пообъявнение я вам звонила,"Здравствуйте, я вот по объявлению вам звонила.",enthusiasm
97,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/happiness_anger_21/21_happiness_anger_h_130.wav,../шумоподавление/DTLN_output/DTLN_21_happiness_anger_h_130.wav,../шумоподавление/Noisereduce_output/Noisereduce_21_happiness_anger_h_130.wav,эсколопы свинины кофе бес сахара и тирамису правильно,икогоко свинины офисахара и тирамису правильно,столо асини уфиг сахара и тирамису крайи,"Эскалоп из свинины, кофе без сахара и тирамису. Правильно?",happiness
98,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/fear_anger_22/22_fear_anger_f_060.wav,../шумоподавление/DTLN_output/DTLN_22_fear_anger_f_060.wav,../шумоподавление/Noisereduce_output/Noisereduce_22_fear_anger_f_060.wav,да вдруг что то случится вр,давну что то случитсяв,да вдруг что то случится,"Да, вдруг что-то случится в дороге! Да ничего не случится!",fear
99,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/09_neutral_happiness/09_neutral_happiness n_010.wav,../шумоподавление/DTLN_output/DTLN_09_neutral_happiness n_010.wav,../шумоподавление/Noisereduce_output/Noisereduce_09_neutral_happiness n_010.wav,кирилл владимирович добрый день,периоды  а любрый день,кирил подняча добрый день,"Кирилл Владимирович, добрый день.",neutral
100,bond005/wav2vec2-large-ru-golos,../dataset/RESD_csv/train/03_disgust_neutral/03_disgust_neutral d_052.wav,../шумоподавление/DTLN_output/DTLN_03_disgust_neutral d_052.wav,../шумоподавление/Noisereduce_output/Noisereduce_03_disgust_neutral d_052.wav,но вы как директор школы должны прям вот быть заинтересованы в каждом ученике а у вас получается что чуть ли моего сына сейчас не выгнать готовы,у у моего сына сейчас не выгнать готов,нтересомоего сына сейчас не выгнай готов,"Но вы, как директор школы, должны прям вот быть заинтересованы в каждом ученике. А у вас получается, что чуть ли моего сына сейчас не выгнать готовы?",disgust
