,No,name,text_true,text_recognize,emo_true,met
109,154,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm f_070.wav,"Честно, я не подскажу, я не знаю. Мне нужно просто, чтобы вы расписались. Я забрал деньги и поехал на следующий заказ."," Я не   знаю, мне  нужно просто чтобы вы расписались. Я забрал деньги и поехан с Я забрал деньги и поехала на  следующий заказ.",fear,1.0
110,155,../dataset/RESD_csv/test/neutral_fear_35/35_neutral_fear_f_074.wav,"Кислород заканчываецца і я не могу сяя, перестаю сяя контроляцца.", Кислорода кончивается и не    могу вся ли  Переставитя контролирует.,fear,0.9
111,156,../dataset/RESD_csv/test/disgust_enthusiasm_28/28_disgust_enthusiasm_e_100.wav,"То есть, если мне нужны будут искривленные линии, мне нужен будет другой станок. Я правильно понимаю?"," То есть   Если мне нужно  будет скривленные линии, мне нужен вы  другой станок. Я  правильно  Понимаю.",enthusiasm,0.4375
112,157,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger a_050.wav,"Интересно, а какая? Тогда хотя бы ссусти мне параметры, а то вы смотрите всё подряд!","  интересно, когда  хотя бы  сусти мне наверно   параметры. А то вы   смотрите все  подряд!",anger,0.9333333333333333
113,159,../dataset/RESD_csv/test/neutral_fear_27/27_neutral_fear_f_120.wav,"Я не люблю смотреть сериалы. Вы понимаете, моя работа... А вы смотрели? Моя работа, это вся моя жизнь. Пожалуйста, я вас очень прошу. Это бесчеловечно, в конце концов."," Я не люблю смотреть сериалы. А вы    смотрели? Моя работа это все мы жизнь, пожалуйста, я вас   очень хорошо, но это без человека в    конце концов.",fear,0.75
114,160,../dataset/RESD_csv/test/enthusiasm_sadness_47/47_enthusiasm_sadness_e_130.wav,"Тогда что, я предлагаю вам кредит, как вы к этому относитесь?"," Так, да что я  предлагаю вам  кредит как вы к  этому относитесь?",enthusiasm,1.0
115,161,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral n_170.wav,"Какое необычное имя, хорошо. Еще что-то?", И еще   что-то?,neutral,0.5
116,162,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm f_110.wav,Да зачем мне эти телевизоры? Мне просто нужно отдать вам заказ и поехать дальше. Зачем?," Да, зачем идти телевизоры, не    просто нужно отдать вам в заказе,  поехать дальше. Ну  чем?",fear,0.9333333333333333
117,163,../dataset/RESD_csv/test/enthusiasm_sadness_47/47_enthusiasm_sadness_s_020.wav,"Ну я хотел бы какую-нибудь иностранную фирму, наверное бренд, может быть Sony. Какие у вас модели есть у Sony?"," Ну, я хотел бы какую-нибудь иностранную  фирму.   Наверное,  Бренд  Может быть, Sony,   Какие у вас модели и что соня?",sadness,0.5263157894736842
118,164,../dataset/RESD_csv/test/anger_fear_34/34_anger_fear_a_130.wav,Ты меня не увидела?, Ты меня не  Увидела!,anger,0.25
119,165,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger a_090.wav,"Эти туфли на размер меньше, чем мне нужно. Ты чем думал, когда ты их покупал?"," Эти туфли на размер  меньше, чем мне  Нужно. Ты чем думал,  когда ты их покупал.",anger,0.13333333333333333
120,166,../dataset/RESD_csv/test/happiness_anger_21/21_happiness_anger_h_120.wav,"Ой, извините, извините, я ошиблась. Вам кофе без сахара."," Уйзвините, извините, я ошиблась. Вам  кофе бессахара. вауфе   Сахара.",happiness,0.8888888888888888
121,167,../dataset/RESD_csv/test/happiness_neutral_18/18_happiness_neutral_n_160.wav,Ты уже думал в какой кружок вступить?,,neutral,0.0
122,170,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger h_040.wav,"Никогда не пробовали, а я в первый раз попробую."," Никогда не пробовали, а я впервые раз  попробую.",happiness,0.3333333333333333
123,172,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_s_120.wav,Хорошо. Ладно. Согласны мы на 4 часа.," Хорошо.  Ладно,  Согласно, мы на 4  часа.",sadness,0.2857142857142857
124,173,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_d_070.wav,"Ой, не надо. В своих фантазиях живёшь где-то. Знаешь, вечно был ботаником, идиотом. Ещё со мной посадили. Нравится концерт? Вот и смотри."," У них надо. Свой фантазия  живёшь где-то, знаешь, вечна был батаником  Вечно было батанником идиотом, что со   мной посадили? Градится   концерт. Вот  смотри.",disgust,0.9545454545454546
125,175,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_a_170.wav,постоянно орёт. После 11 часов ночи... Тихий час., постоянно рет.  После 11  часов ночи.   Тихий час!,anger,0.375
126,176,../dataset/RESD_csv/test/fear_enthusiasm_31/31_fear_enthusiasm_e_090.wav,"Мама, всё в порядке, я под контролем."," Мама, все в  порядке. Я под   контролем.",enthusiasm,0.42857142857142855
127,177,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_a_160.wav,"Я не собираюсь успокаиваться! Принимай купюру! Давай быстрее заканчиваем этот разговор! Сама говоришь, очередь задержит!"," Принемайку пюру. Все, у  меня не волнуй,  Давай быстрее,  заканчиваем этот разговор. Сомагов решили   задержив.",anger,1.0
128,178,../dataset/RESD_csv/test/anger_disgust_25/25_anger_disgust_d_030.wav,"Антина Дмитриевна, два года назад вы заплатили только основную часть долга, а проценты вы не заплатили. За это время сумма превратилась в 262 000 рублей 88 копеек."," Дмитрийевна 2  года  назад вы  заплатили  только основную часть долга, а  процент этого не  заплатили. За это   время  Сумма превратилась в 262 тысяч  2000 рублей, 88  копеек. Вот, что  что, что, что, что?",disgust,0.9259259259259259
129,180,../dataset/RESD_csv/test/sadness_disgust_46/46_sadness_disgust_d_063.wav,Это просто не поддаётся ни объяснению. Я не могу.," Это просто не поддаются, не   объясню, я не   могу.",disgust,0.4444444444444444
130,181,../dataset/RESD_csv/test/happiness_neutral_23/23_happiness_neutral_h_162.wav,"чтобы у нас был струнный ансамбль, представляешь? Живые скрипачи на сцене будут тебя компонировать. Класс!"," Что по у нас был в труны, он сам lui представляешь.  живые скрипочи до  сцей   будьте, я компанировать.",happiness,1.0
131,182,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_s_050.wav,"Ну, чтобы вы их поставили хотя бы эту несчастную троечку."," Ну, чтобы вы их  поставили хотя бы эту несчастную   трое",sadness,0.1
132,183,../dataset/RESD_csv/test/enthusiasm_happiness_26/26_enthusiasm_happiness_e_030.wav,"В любом, с тобой везде, везде замечательно!"," Любовь, с тобой  Везде за меча отец.",enthusiasm,1.0
133,184,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral n_160.wav,"Да, я записала. Как вас зовут?",,neutral,0.0
134,185,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_040.wav,Я не могу себе купить ведро., Я не могу себе купить в  виду.,sadness,0.16666666666666666
135,188,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_f_080.wav,"Я ничего вам не могу предложить, кроме того, как надеть беруши в уши."," Я ничего вам не могу предложить,  кроме того, как  надеть беруше выше.",fear,0.15384615384615385
136,189,../dataset/RESD_csv/test/fear_disgust_41/41_fear_disgust_d_070.wav,"Ну что я могу сказать? Я что, сам учил, что ли? Мне вообще на этот предмет всё равно. Он проходящий, один раз пришёл и ушёл. Я даже не помню, как зовут педагога."," Я что-то сам   учил, что ли? Это не   вообще надцепреднессиворовым, но проходящая,   дело спрошел и ушел. И   даже не помни, как  зовут Питагугая.",disgust,0.71875
137,190,../dataset/RESD_csv/test/anger_fear_42/42_anger_fear_a_051.wav,"Да? И высыпаетесь? С каким-то ребёнком? Да, я высыпаюсь. Почему ваш ребёнок слышит весь подъезд? В три ночи там или в два часа ночи? Вообще в два часа ночи дети должны спать по-хорошему. И вставать с утра. А мне в пять..."," Да? И вы сыпаетеесь?   Таким таребёнком. В общем, у вашего   ребенок слышит весь подъезд. В 3 ночь это  ночь, там или в 20  ночи. В  Вообще, в 20-м ночи, дети должны спать по хорошему и  вставать с   утра. А мне опять",anger,0.8780487804878049
138,191,../dataset/RESD_csv/test/enthusiasm_sadness_50/50_enthusiasm_sadness_s_080.wav,"Да, он всегда записывает, боится забыть что-нибудь."," Да, он всегда записывает, боится  забыть, что не  будет, что не быть.",sadness,0.2857142857142857
139,192,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_f_110.wav,"Я не первый год на рынке, я знаю.", Я не первый год на  рынке. Я  знаю.,fear,0.25
140,193,../dataset/RESD_csv/test/anger_disgust_19/19_anger_disgust_a_150.wav,"Всё, понятно, вы мошенники! Суд подам! Всё!"," Все, понятно, вы машинники, суд подом,    Всё!",anger,0.5714285714285714
141,194,../dataset/RESD_csv/test/happiness_fear_29/29_happiness_fear_f_040.wav,Правда? Вы правда доставляете любое?,   правда доставляете любые,fear,0.6
142,195,../dataset/RESD_csv/test/02_anger_sadness/02_anger_sadness a_042.wav,"Я к тебе подхожу и спрашиваю про отчёт. Это как ты это всё хорошо видишь, да? Нет? Это плохо."," Я к тебе подходю и  спрашиваю про отчёт. Это как ты это и   хорошо  видишь, да?  Нет, по-моему это   Плохо.",anger,0.2631578947368421
143,197,../dataset/RESD_csv/test/enthusiasm_fear_40/40_enthusiasm_fear_f_100.wav,После бега будут отжимания? Отжимания это самое сложное.," отжимание, отжимание это  джемон не это  Самое сложное.",fear,0.75
144,198,../dataset/RESD_csv/test/09_neutral_happiness/09_neutral_happiness n_052.wav,"Для этого у вас есть вот такой стол, столешница раздвигается, и можно вместо 4-х человек пригласить даже целых 10."," для этого у вас есть вот  такой вот  стол, всталишний, все раз двигается. и   можно  Место 4  человек пригласит этот дожат  целых действий.",neutral,0.6842105263157895
145,199,../dataset/RESD_csv/test/06_happiness_enthusiasm/06_happiness_enthusiasm h_072.wav,"Потому что вести инстаграм — это, знаешь ли, не очень просто, но можно сидеть дома и сидеть на диване, и при этом продвигать товар."," Потому что вести инстаграм, это знаешь ли не    очень просто, но   можно  сидеть на диване и претом    Продвигать товар.",happiness,0.625
146,200,../dataset/RESD_csv/test/enthusiasm_fear_40/40_enthusiasm_fear_f_060.wav,"Мы сдаём бег 5 километров, и что-то мне кажется, что они его не засчитают."," мы стою бег 5   километров. и мне    кажется, что мне его не защитают. Миниву не защит  это.",fear,0.7857142857142857
147,202,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_d_110.wav,"Со мной ничего не случилось. Ты прекрасно знаешь, что между нами хороших отношений никогда не было. Я знаю, как ты про меня слухи распускал. Мне все это рассказали."," Прекрасно знаю, что  между нами  хороших отношения  никогда не было. Я   знаю, как ты про меня слухи,  Распускал мне все,",disgust,0.7142857142857143
148,203,../dataset/RESD_csv/test/happiness_neutral_18/18_happiness_neutral_n_070.wav,"Соседка тоже неплохо, может подметать пыль."," Соседка тоже неплохо,  может подметать пыль?",neutral,0.16666666666666666
149,206,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_n_090.wav,"Девушка, успокойтесь, пожалуйста.",,neutral,0.0
150,207,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_s_141.wav,"Нет, ну если я у тебя займу, то я поменьше займу, потому что мне сейчас некуда деваться. Ну ты не забывай там ещё процент. Мне хотя бы матери надо отдать долг. Ладно, подружка подождёт. Я вообще не рассчитывала, не рассчитывала, что это настолько-то. screaming"," Ну, ну, ну,  никуда дела. Да не забывай там, еще  красиво. Не хотела матили  хотел бы матери  Надо отдать до угла  Подружку подожди. Я  вообще, ну не  рассчитывала, что ты думала. Валонерыши, ты волосы, что ты  волосы.",sadness,0.8409090909090909
151,208,../dataset/RESD_csv/test/11_disgust_anger/11_anger_disgust a_020.wav,"Хорошо, скажите, пожалуйста, когда я могу приехать и куда?"," Хорошо,  Скажите, пожалуйста,  Когда мы приехать, и   куда?",anger,0.6666666666666666
152,209,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_h_170.wav,"Валерий Владимирович, я вам очень благодарна. Я была уверена, что эта новость вам очень понравится. Я рада, что вы меня услышали."," Валерий Владимирович, я вам   очень  благодарна. Я  была  уверена, что это  новость вам очень  понравится. И я   рада, что вы  меня услышали.",happiness,0.3333333333333333
153,210,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_a_030.wav,"Я не знаю, кто вам говорит, извините, вы должны принять, это нормальные деньги, я вам что, фальшивку даю, что ли?"," Я не знаю, кто вам  говорит, извините, вы  должны принять это нормальное  деньги, а вам что  фальшивку даю, что ли?",anger,0.2
154,211,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger h_050.wav,"Да! Но зато здесь только ты и я, в этой ужасной забегаловке. Наконец-то мы проведём время вместе!"," Да! Ну за то, без  тесто  только ты и я в этой   ужасно с запигавки. Мы проведем   время вместе.",happiness,0.9411764705882353
155,212,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_h_090.wav,"Я спрошу, я надеюсь, они за меня порадуются. Ведь ты первая, кому я сказала. Ой, мне очень приятно. Представляешь, выхожу на улицу, думаю, ну всё, вот эти пять тысяч, держи, вот он билетик, представляешь? Так ты ещё не оранжевала, у тебя только стиснец. Я только узнала."," Я спрашиваю, надеюсь, они за  меня порадится. Ведь ты первая кому я  сказал. Вы  хожу на улице дома, но   все, вот эти 5 тысяч держивают на  билете  представляешь? Так ты не   может? Да  нет, я   Только узнала.",happiness,0.782608695652174
156,213,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_e_110.wav,"Хорошо. В принципе, не знаю. А когда я могу приступить к обучению, к стажировке?"," Принципиру, я не знаю,    Когда я  могу приступить от кабудения, сдерживки. обудению к этой же  ровке.",enthusiasm,0.9285714285714286
157,214,../dataset/RESD_csv/test/happiness_sadness_45/45_happiness_sadness_h_030.wav,Можешь у меня пока занятие,,happiness,0.0
158,215,../dataset/RESD_csv/test/07_fear_neutral/07_fear_neutral f_010.wav,Хуёп! Всё в порядке с вами!,,fear,0.0
159,216,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_072.wav,"Ну вот твой клиент пошёл, он что-то покупать себе, он подождёт. А мой, вон, простой мужчина, торопится к семье. Ну, дай ведро, пожалуйста, а?"," Вот твой клиент пошел вот   что-то покупать себе, он  подождёт. А мой он   простой   Мужчина торопится к  семья.",sadness,0.75
160,217,../dataset/RESD_csv/test/disgust_enthusiasm_28/28_disgust_enthusiasm_d_090.wav,фрезеровать.,,disgust,0.0
161,218,../dataset/RESD_csv/test/enthusiasm_sadness_50/50_enthusiasm_sadness_s_060.wav,"Ой, какая-то была. Ну, я ж не знаю, что он там записывал."," Какая-то была, но я не   знаю, что он там  записывал?",sadness,0.8333333333333334
162,219,../dataset/RESD_csv/test/disgust_enthusiasm_20/20_disgust_enthusiasm_e_130.wav,И что мне за это будет?, И что мне за это  будет.,enthusiasm,0.16666666666666666
163,220,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_e_100.wav,"А, так еще вот такая сложная система."," А, так еще вот такая  Сложно осесить.",enthusiasm,0.2857142857142857
164,221,../dataset/RESD_csv/test/enthusiasm_sadness_50/50_enthusiasm_sadness_e_040.wav,А что он еще говорил?,,enthusiasm,0.0
165,222,../dataset/RESD_csv/test/fear_disgust_41/41_fear_disgust_d_080.wav,"Ну и что? Приходил, я спал на этих парах, я даже не помню, как он выглядит, какого даже цвета волосы. Мне на него всё равно."," Я    сапору на этих парах, я  даже не помню, как он выключит,  Какого дожа цвета в упаса? Пи на него всё равно.",disgust,0.88
166,223,../dataset/RESD_csv/test/disgust_enthusiasm_20/20_disgust_enthusiasm_d_030.wav,Жена Валерия твоего любовника., Жена в олере.   Твоего любовника.,disgust,0.75
167,224,../dataset/RESD_csv/test/neutral_enthusiasm_13/13_neutral_enthusiasm_n_041.wav,"Безлимитный интернет стоит 1000 рублей, но со 50% скидкой он обойдется вам в 500 рублей."," безлимитный  интернет стоят тысячу  рублей, но со 50%-нескидкой он  скиткой он  обойдется в 500  рублей.",neutral,0.5333333333333333
168,225,../dataset/RESD_csv/test/enthusiasm_sadness_50/50_enthusiasm_sadness_s_130.wav,"Да нет, я на этом месте-то вон 10 лет работаю."," Да нет, я на  этом месте того, он 10 лет  работаю.",sadness,0.5
169,226,../dataset/RESD_csv/test/happiness_enthusiasm_32/32_happiness_enthusiasm_h_010.wav,Привет! Я так рада тебя сегодня видеть!, Привет! Я так  рада тебя  Сегодня ведь!,happiness,0.2857142857142857
170,227,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger s_160.wav,"Нет, ну мне не нужна однокомнатная. Зачем мне однокомнатная? Вы представляете, что я буду делать там со всей своей семьей? Мне будет очень тесно. Я не хочу однокомнатную под 20% на 30 лет брать. Я хочу пятикомнатную."," Нет, но мне не нужна одна комната. Нас  учим, что я  представляете, что я  буду делать со всей своей семьей. Мне  будет очень тесно. Я не    хочу, а на комнатном, в 20% на 30 лет    брать. Я  хочу пить комнатно.",sadness,0.6486486486486487
171,228,../dataset/RESD_csv/test/08_sadness_anger/08_sadness_anger s_130.wav,"Нет, у нас, конечно, дороже стоит все. Я же живу в Ростове-на-Дону, поэтому мне и в Ростове квартира нужна. Я думаю, что мы сможем с вами что-то подобрать."," Но у нас  конечно дороже стоит все, но я же же был в    ростове на донупо,  поэтому мне и в ростове квартира  нужна я  думаю, что мы  сможем сами  что-то подобрать.",sadness,0.8928571428571429
172,229,../dataset/RESD_csv/test/sadness_disgust_12/12_sadness_disgust_d_060.wav,Дополнительные занятия Володечка ваш глупенький не потянет," Дополнительное  занятия волводечка  ваш, глупенький, не    потянет.",disgust,0.7142857142857143
173,231,../dataset/RESD_csv/test/05_neutral_fear/05_neutral_fear f_070.wav,"Муж объелся груш. Уехал он на работу, вахта работать.","  уехал, он на  Уехал на работу,  Вахтор обудать.",fear,0.7777777777777778
174,232,../dataset/RESD_csv/test/enthusiasm_sadness_15/15_enthusiasm_sadness_s_040.wav,Ещё и сдавать экзамен при переезде., Ещё и вздавать  экзамен при переезды.,sadness,0.3333333333333333
175,233,../dataset/RESD_csv/test/sadness_disgust_16/16_sadness_disgust_d_040.wav,"О, так может быть ты хочешь завести его без меня?"," О, так  Может быть, ты хочешь  Ждовести его без  меня.",disgust,0.4
176,234,../dataset/RESD_csv/test/sadness_disgust_33/33_sadness_disgust_d_090.wav,"Давай не заливай, а иди к Елизавете подсядь и рассказывай. Мало того, что с алкоголиком посадили ещё, блин, с этим кретином."," Давай не заливая деванки или  завете подсятки,   рассказывай. Молод  того, что с алкоголиком посадили еще вленц   этим критином.",disgust,0.7619047619047619
177,236,../dataset/RESD_csv/test/10_happiness_anger/10_happiness_anger h_120.wav,За себя нет.,,happiness,0.0
178,238,../dataset/RESD_csv/test/disgust_enthusiasm_20/20_disgust_enthusiasm_e_050.wav,Какая связь?,,enthusiasm,0.0
179,239,../dataset/RESD_csv/test/02_anger_sadness/02_anger_sadness a_032.wav,"Чем ты занимался, что тебя отвлекло от работы?"," Чем ты  занимался, что  тебе отвлекло от работы.",anger,0.25
180,240,../dataset/RESD_csv/test/happiness_neutral_23/23_happiness_neutral_n_050.wav,"С чего ты взяла, что я люблю музыку?"," С чего ты делаешь, что я  люблю музыку.",neutral,0.25
181,241,../dataset/RESD_csv/test/fear_disgust_41/41_fear_disgust_d_010.wav,"Да, сдавал, там такого ничего нет, это всё обычные предметы."," Да, сдавал. Там  Такого  ничего нет, это все   Обычный предмет.",disgust,0.6
182,242,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_h_110.wav,"Вы же не первый год на рынке! Вы знаете, что я права!"," Вы же не первый год на рынке. Вы   знаете, что я  Пробавим.",happiness,0.16666666666666666
183,243,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm e_010.wav,"Добрый день! Ой, как здорово! Я так долго её ждала! Заходите, пожалуйста."," Ой, как  здорово, я так долгое ждала, а заходить,   пожалуйста.",enthusiasm,0.8333333333333334
184,248,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_e_030.wav,А вы где-то уже учились?, Вы  где-то уже учились.,enthusiasm,0.8
185,249,../dataset/RESD_csv/test/neutral_anger_44/44_neutral_anger_n_050.wav,"Мы не принимаем такие деньги, дайте мне другую купюру....либо..."," Мы не принимаем  Такие деньги, дайте мне  Другую купюру.",neutral,0.3333333333333333
186,251,../dataset/RESD_csv/test/05_neutral_fear/05_neutral_fear f_051.wav,"Слушайте, да у него руки в карманах были, и лицо он всё время прячет, и шёл за мной, и так тихо, тихонечко, и... Я даже уже телефон взяла подсветить. Фонари не горят нигде."," Слушай, до универу и в  кармане были и  иглицон с ремаплячат, и шоу за   мной, не так тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо тихо т Я  даже жители фунзела  подсветить   Фонарин не горят, негде.",fear,0.9696969696969697
187,252,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_e_020.wav,"Хорошо, какие у вас будут пожелания к нашему занятию?"," Хорошо,  Какие  возбудут пожилания к  нашему занятию.",enthusiasm,0.6666666666666666
188,253,../dataset/RESD_csv/test/01_happiness_anger/01_happiness_anger a_110.wav,"Давай пуляй. Три, два, один!",,anger,0.0
189,255,../dataset/RESD_csv/test/happiness_anger_21/21_happiness_anger_a_070.wav,"Поняла. Тогда мне кофе без сахара, натуральный давайте.", Поняла. Тогда мне    Кофе без  сахара натуральной  давайте.,anger,0.375
190,257,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_e_070.wav,"Это вот оклад фиксированный, да?",,enthusiasm,0.0
191,258,../dataset/RESD_csv/test/anger_fear_34/34_anger_fear_a_022.wav,"Куда ты ехала? Куда ты смотришь вообще? Ты когда едешь, ты куда-нибудь смотришь, кроме губной помады своей?",   куда ты  Смотришь вообще. Ты  когда едешь ты  куда-нибудь смотришь кроме губной помады   своей.,anger,0.7647058823529411
192,260,../dataset/RESD_csv/test/happiness_fear_29/29_happiness_fear_f_060.wav,"Ой, что вы говорите? waren", Что вы  говорите?  СМЕХ,fear,0.8
193,264,../dataset/RESD_csv/test/happiness_fear_29/29_happiness_fear_h_060.wav,Не сомневайтесь!,,happiness,0.0
194,265,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_n_020.wav,Я хочу научиться ездить по городу., Я хочу научиться  ездить по городу.,neutral,0.0
195,266,../dataset/RESD_csv/test/03_disgust_neutral/03_disgust_neutral d_090.wav,но вы изыскиваете деньги с родителей, Но вы из-за скеваете  Деньги с родителей.,disgust,0.8333333333333334
196,267,../dataset/RESD_csv/test/enthusiasm_neutral_37/37_enthusiasm_neutral_e_120.wav,"Анастасия, сосредоточьтесь, будьте внимательней. С машиной всё в порядке. Она полностью исправна."," А на стасе сосредоточить,   Будьте внимательнее, смашина все в    порядке, а на   полностью исправно.",enthusiasm,1.0
197,268,../dataset/RESD_csv/test/disgust_enthusiasm_28/28_disgust_enthusiasm_d_052.wav,фрезеровать отверстия в нем., Фризировать отверстия в  Внём.,disgust,0.5
198,269,../dataset/RESD_csv/test/09_neutral_happiness/09_neutral_happiness n_060.wav,"Да, это дуб, это настоящее дерево, это не сделано под дуб. Здорово. Вот поэтому я думаю, что вы будете, останетесь довольны."," Да, это  Дуб, это   настоящая дерева это не  сделано  под. Я   думаю, что вы  будете останнить с тобой.",neutral,0.5714285714285714
199,270,../dataset/RESD_csv/test/fear_happiness_30/30_fear_happiness_f_150.wav,"Нет, вы сперва просчитаете, а потом я дам вам добро, может быть и достаетте.","  Нет, вы спир候о, а прощитаете? А   потом я дам вам дам. Да, вам   добро, может    Быть.",fear,0.8571428571428571
200,272,../dataset/RESD_csv/test/enthusiasm_neutral_43/43_enthusiasm_neutral_n_050.wav,Мы вам за этот период не будем ничего платить., Мы вам за этот период не будем   ничего платить.,neutral,0.0
201,273,../dataset/RESD_csv/test/sadness_happiness_49/49_sadness_happiness_s_030.wav,"Мне. Потому что к тебе вот всегда клиенты приезжают на Mercedes, на BMW, на Lexus, а ко мне только девятки и копейки сыпятся. Ну честно говоря, это несправедливо."," Мне  Потому что тебе вот всегда клиенты  приезжает  номер садесах на БВ. на  лексуса, а ко мне   только девятки  Капейки Сипедцы. Ну  Честно говоря, это не  справедливо.",sadness,0.8928571428571429
202,274,../dataset/RESD_csv/test/neutral_enthusiasm_13/13_neutral_enthusiasm_n_030.wav,"Хорошо. У нас есть как раз для этого тариф. Есть 50 гигабайт, 250 минут. Вам идёт?"," Хорошо. У нас  есть как раз для  этого риф. Есть 50  гигабайт, 250 мм. 200-50  минут. Вам   идёт.",neutral,0.25
203,277,../dataset/RESD_csv/test/happiness_neutral_23/23_happiness_neutral_n_100.wav,Я рассмотрю твоё предложение, Ну и рассмотрят вы  Продолжение.,neutral,1.0
204,278,../dataset/RESD_csv/test/sadness_enthusiasm_24/24_sadness_enthusiasm_e_100.wav,Сложно тебе! Я вот не женился и хорошо. Так может быть после бани куда-нибудь?," Сложно тебе, я вот   ниже не им сей  хорошо, так  может быть  После баней куда-нибудь",enthusiasm,0.8571428571428571
205,279,../dataset/RESD_csv/test/04_fear_enthusiasm/04_fear_enthusiasm f_140.wav,"так же как в обычном пульте, просто берешь батарейки и вставляешь. Можете, пожалуйста, все-таки расписаться и отдать деньги?"," Так же как бы быть нам  обычном пути  Фросто  берешь батарейки и  Бутарейки и вставляешь. Может, и  пожалуйста  все-таки расписаться и отдать   Деньги.",fear,0.8888888888888888
